shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered_Date,delay_days
SHO0116,FEDEX,,Delivered,Chennai,Mumbai,177.47,06/24/2024,NULL,NULL
SHO0117,FEDEX,02/01/2024,Delayed,Chennai,Hyderabad,NULL,02/08/2024,02/16/2024,NULL
SHO0118,FEDEX,03/30/2025,Accepted,Delhi,Mumbai,-35.41,04/02/2025,NULL,NULL
SHO0120,FEDEX,,In Transit,Pune,Mumbai,331.53,11/20/2025,NULL,NULL
SHO0121,BLUEDART,07/24/2024,Delivered,Hyderabad,Pune,0.55,NULL,NULL,NULL
SHO0124,FEDEX,,Delivered,Pune,Mumbai,474.68,07/24/2024,NULL,NULL
SHO0125,BLUEDART,05/12/2026,Pending,Chennai,Delhi,-56.11,05/14/2026,NULL,NULL
SHO0126,DHL,,Delivered,Mumbai,Bangalore,474.86,10/28/2024,10/29/2024,1
SHO0131,BLUEDART,11/27/2025,Pending,Delhi,Bangalore,-11.09,11/29/2025,NULL,NULL
SHO0132,BLUEDART,09/02/2024,Delayed,Pune,Hyderabad,333.88,02/14/2024,NULL,NULL
SHO0133,FEDEX,,Accepted,Chennai,Delhi,215.63,08/06/2025,NULL,NULL
SHO0136,FEDEX,,Delayed,Bangalore,Pune,220.84,12/29/2025,04/01/2026,NULL
SHO0139,DHL,,Delivered,Delhi,Pune,-34.16,10/26/2024,10/28/2024,2
SHO0141,DHL,05/03/2025,Delivered,Mumbai,Chennai,35.68,NULL,05/10/2025,NULL
SHO0142,DHL,02/07/2024,UNKNOWN,Mumbai,Hyderabad,150.26,NULL,NULL,NULL
SHO0143,FEDEX,,Pending,Delhi,Chennai,224.1,10/21/2025,NULL,NULL
SHO0145,DHL,11/27/2024,In Transit,Hyderabad,Chennai,NULL,02/12/2024,NULL,NULL
SHO0146,BLUEDART,,Delayed,Hyderabad,Pune,189.93,NULL,NULL,NULL
SHO0147,DHL,,Delivered,Mumbai,Hyderabad,493.53,NULL,04/18/2025,NULL
SHO0148,DHL,06/24/2025,Delivered,Chennai,Mumbai,129.84,NULL,NULL,NULL
SHO0152,BLUEDART,,Pending,Delhi,Pune,147.97,07/04/2024,NULL,NULL
SHO0153,FEDEX,,In Transit,Hyderabad,Delhi,9.97,NULL,NULL,NULL
SHO0156,BLUEDART,,Pending,Hyderabad,Chennai,-52.81,NULL,NULL,NULL
SHO0158,DHL,,UNKNOWN,Delhi,Pune,135.22,04/11/2025,NULL,NULL
SHO0160,BLUEDART,10/02/2025,In Transit,Chennai,Hyderabad,240.21,02/14/2025,NULL,NULL
SHO0161,BLUEDART,,In Transit,Mumbai,Delhi,101.49,07/29/2024,NULL,NULL
SHO0162,DHL,,Pending,Delhi,Hyderabad,403.35,NULL,NULL,NULL
,FEDEX,,Delayed,Hyderabad,Mumbai,NULL,NULL,06/30/2024,NULL
SHO0164,DHL,03/10/2024,Delivered,Bangalore,Hyderabad,NULL,03/13/2024,NULL,NULL
SHO0165,FEDEX,,Delivered,Pune,Hyderabad,79.35,NULL,NULL,NULL
SHO0167,DHL,05/04/2024,In Transit,Bangalore,Pune,139.97,04/11/2024,NULL,NULL
SHO0168,DHL,,In Transit,Chennai,Pune,442.74,08/30/2024,NULL,NULL
SHO0171,FEDEX,,Pending,Pune,Mumbai,204.55,03/17/2026,NULL,NULL
SHO0172,BLUEDART,,Delayed,Pune,Hyderabad,140.4,08/10/2024,10/11/2024,NULL
,DHL,04/04/2025,Pending,Hyderabad,Chennai,241.75,04/09/2025,NULL,NULL
,FEDEX,11/02/2024,Pending,Delhi,Chennai,373.95,11/06/2024,NULL,NULL
SHO0176,FEDEX,01/24/2025,Delivered,Delhi,Bangalore,420.08,NULL,01/02/2025,NULL
,FEDEX,12/08/2025,Delivered,Delhi,Chennai,60.61,08/17/2025,08/19/2025,2
SHO0178,BLUEDART,03/24/2025,Delivered,Mumbai,Hyderabad,88.97,NULL,03/30/2025,NULL
SHO0180,DHL,06/19/2024,Delivered,Hyderabad,Mumbai,275.35,NULL,06/29/2024,NULL
SHO0183,FEDEX,,Delivered,Bangalore,Pune,15.33,12/01/2025,02/12/2025,0
SHO0184,BLUEDART,09/02/2025,Delayed,Bangalore,Mumbai,347.69,NULL,02/20/2025,NULL
SHO0185,BLUEDART,,In Transit,Hyderabad,Mumbai,185.38,03/12/2024,NULL,NULL
SHO0186,FEDEX,,Delivered,Chennai,Hyderabad,329.47,04/17/2026,04/16/2026,0
SHO0187,DHL,09/03/2025,Delayed,Chennai,Mumbai,202.27,03/15/2025,03/18/2025,NULL
SHO0188,FEDEX,,In Transit,Hyderabad,Delhi,479.02,04/20/2026,NULL,NULL
SHO0190,FEDEX,02/17/2026,Delivered,Chennai,Pune,175.99,NULL,NULL,NULL
SHO0191,FEDEX,,Delivered,Pune,Delhi,347.82,09/08/2024,NULL,NULL
SHO0193,FEDEX,06/06/2026,Delivered,Pune,Mumbai,-6.4,NULL,06/10/2026,NULL
SHO0194,FEDEX,,Delivered,Mumbai,Chennai,380.87,NULL,03/24/2024,NULL
SHO0197,FEDEX,,Delivered,Hyderabad,Mumbai,129.05,NULL,04/10/2024,NULL
SHO0198,DHL,,Delayed,Pune,Delhi,-3.03,NULL,05/15/2025,NULL
SHO0199,DHL,01/18/2026,Delivered,Mumbai,Pune,-20.59,01/22/2026,01/25/2026,3
SHO0200,DHL,,In Transit,Chennai,Hyderabad,339.01,04/02/2025,NULL,NULL
SHO0202,DHL,,Pending,Bangalore,Delhi,272.02,01/08/2024,NULL,NULL
SHO0204,DHL,10/03/2024,Delayed,Pune,Bangalore,72.07,12/03/2024,03/13/2024,NULL
SHO0205,BLUEDART,03/26/2024,In Transit,Hyderabad,Mumbai,-34.17,NULL,NULL,NULL
,FEDEX,02/29/2024,In Transit,Bangalore,Hyderabad,-30.0,05/03/2024,NULL,NULL
SHO0207,DHL,,Pending,Bangalore,Pune,472.75,NULL,NULL,NULL
SHO0208,DHL,05/10/2024,Pending,Delhi,Chennai,-42.95,NULL,NULL,NULL
,FEDEX,11/21/2025,Delivered,Pune,Bangalore,-13.11,NULL,11/26/2025,NULL
SHO0212,FEDEX,05/20/2025,Delivered,Delhi,Bangalore,NULL,NULL,05/28/2025,NULL
SHO0213,BLUEDART,04/16/2024,In Transit,Mumbai,Delhi,NULL,04/19/2024,NULL,NULL
SHO0214,BLUEDART,,Delivered,Mumbai,Delhi,-30.76,04/16/2025,04/16/2025,0
SHO0222,BLUEDART,11/07/2025,Accepted,Delhi,Chennai,201.11,NULL,07/20/2025,NULL
SHO0224,DHL,12/29/2024,Accepted,Chennai,Mumbai,NULL,01/01/2025,NULL,NULL
SHO0225,BLUEDART,,In Transit,Chennai,Hyderabad,NULL,08/04/2025,NULL,NULL
,DHL,04/21/2026,Delivered,Bangalore,Pune,308.61,04/28/2026,05/01/2026,3
SHO0232,FEDEX,10/28/2024,Delayed,Pune,Hyderabad,104.86,10/30/2024,01/11/2024,NULL
,FEDEX,,Delayed,Chennai,Hyderabad,407.66,NULL,02/08/2025,NULL
,BLUEDART,09/21/2024,In Transit,Hyderabad,Bangalore,448.27,09/23/2024,NULL,NULL
SHO0240,BLUEDART,06/19/2025,Delivered,Chennai,Bangalore,163.36,NULL,NULL,NULL
,BLUEDART,,In Transit,Delhi,Chennai,299.78,NULL,NULL,NULL
SHO0244,FEDEX,03/21/2026,Delayed,Pune,Bangalore,-41.94,03/28/2026,NULL,NULL
SHO0245,FEDEX,,Accepted,Pune,Mumbai,78.91,12/27/2025,NULL,NULL
SHO0246,FEDEX,,Accepted,Chennai,Bangalore,14.84,NULL,NULL,NULL
SHO0247,DHL,,In Transit,Bangalore,Hyderabad,76.07,11/29/2025,NULL,NULL
SHO0249,DHL,,Delivered,Chennai,Delhi,264.39,08/01/2025,03/08/2025,0
SHO0252,DHL,,In Transit,Bangalore,Chennai,-23.39,07/07/2024,NULL,NULL
SHO0254,BLUEDART,06/29/2026,In Transit,Pune,Chennai,210.28,06/07/2026,NULL,NULL
SHO0255,BLUEDART,11/19/2024,UNKNOWN,Mumbai,Hyderabad,335.09,11/21/2024,NULL,NULL
SHO0256,DHL,,UNKNOWN,Chennai,Hyderabad,362.87,05/18/2025,NULL,NULL
,DHL,07/14/2024,Delayed,Delhi,Bangalore,312.51,NULL,07/25/2024,NULL
SHO0259,DHL,,Accepted,Hyderabad,Delhi,42.49,01/16/2026,01/26/2026,NULL
SHO0260,DHL,,Delayed,Chennai,Pune,299.07,11/10/2025,11/11/2025,NULL
SHO0262,FEDEX,07/23/2024,Delivered,Hyderabad,Bangalore,72.54,NULL,NULL,NULL
SHO0264,FEDEX,02/21/2024,Delayed,Delhi,Chennai,NULL,NULL,02/28/2024,NULL
SHO0265,BLUEDART,,Pending,Hyderabad,Mumbai,473.95,01/05/2025,NULL,NULL
SHO0267,BLUEDART,09/05/2025,Accepted,Pune,Delhi,-14.5,05/14/2025,NULL,NULL
SHO0268,BLUEDART,,Accepted,Chennai,Hyderabad,116.21,NULL,NULL,NULL
,BLUEDART,,In Transit,Mumbai,Chennai,-34.28,04/21/2026,NULL,NULL
SHO0271,FEDEX,,Pending,Mumbai,Pune,-79.9,NULL,NULL,NULL
SHO0274,FEDEX,04/24/2026,Delivered,Hyderabad,Chennai,30.54,04/28/2026,NULL,NULL
SHO0275,DHL,,Delivered,Mumbai,Pune,-51.83,07/02/2025,NULL,NULL
SHO0277,BLUEDART,,In Transit,Delhi,Bangalore,36.52,10/15/2025,NULL,NULL
SHO0278,BLUEDART,,Delayed,Bangalore,Delhi,361.25,03/01/2026,NULL,NULL
SHO0281,BLUEDART,01/25/2025,In Transit,Delhi,Pune,161.61,01/02/2025,NULL,NULL
,BLUEDART,04/27/2024,Delivered,Bangalore,Pune,120.68,NULL,05/01/2024,NULL
SHO0290,FEDEX,,Delivered,Delhi,Pune,-11.38,04/02/2025,02/03/2025,0
SHO0293,BLUEDART,02/26/2025,Delivered,Delhi,Hyderabad,413.85,03/01/2025,01/03/2025,0
SHO0295,BLUEDART,,Pending,Pune,Delhi,181.37,11/27/2024,NULL,NULL
SHO0296,FEDEX,12/30/2025,Delivered,Hyderabad,Delhi,291.69,NULL,NULL,NULL
SHO0297,BLUEDART,11/05/2026,In Transit,Chennai,Pune,NULL,05/14/2026,NULL,NULL
SHO0298,DHL,,Delivered,Chennai,Bangalore,262.22,NULL,02/22/2025,NULL
SHO0299,DHL,,Delayed,Mumbai,Bangalore,150.14,06/12/2025,NULL,NULL
SHO0301,DHL,,Delivered,Pune,Mumbai,481.7,04/22/2024,NULL,NULL
SHO0303,FEDEX,,Delayed,Hyderabad,Delhi,130.09,07/17/2024,07/19/2024,NULL
SHO0304,FEDEX,,Delayed,Pune,Delhi,252.62,NULL,02/20/2024,NULL
SHO0305,BLUEDART,06/18/2026,Delivered,Bangalore,Pune,342.23,06/22/2026,NULL,NULL
SHO0306,DHL,,Delayed,Chennai,Bangalore,340.03,01/10/2024,10/09/2024,NULL
,FEDEX,04/08/2024,Delayed,Hyderabad,Bangalore,196.0,NULL,NULL,NULL
SHO0308,BLUEDART,,In Transit,Bangalore,Mumbai,134.82,NULL,NULL,NULL
SHO0310,DHL,12/05/2025,Delivered,Mumbai,Hyderabad,103.22,09/12/2025,NULL,NULL
SHO0311,FEDEX,,Delivered,Hyderabad,Chennai,243.39,NULL,07/25/2025,NULL
SHO0315,BLUEDART,06/22/2024,Delivered,Hyderabad,Bangalore,-59.08,06/25/2024,06/23/2024,0
SHO0317,DHL,,In Transit,Chennai,Pune,117.18,06/01/2025,NULL,NULL
SHO0320,BLUEDART,,Delivered,Delhi,Hyderabad,459.55,02/06/2026,02/11/2026,5
SHO0321,DHL,,Delivered,Pune,Hyderabad,474.35,03/26/2024,03/24/2024,0
SHO0328,DHL,10/27/2025,Delivered,Chennai,Bangalore,232.29,NULL,03/11/2025,NULL
SHO0334,FEDEX,08/20/2024,Delivered,Mumbai,Bangalore,-28.06,08/24/2024,NULL,NULL
SHO0338,DHL,01/23/2024,Delayed,Pune,Bangalore,483.95,NULL,01/02/2024,NULL
SHO0339,FEDEX,12/14/2025,Delivered,Delhi,Chennai,-61.59,12/16/2025,12/16/2025,0
SHO0340,DHL,01/29/2025,Delivered,Bangalore,Hyderabad,485.48,01/02/2025,NULL,NULL
SHO0343,FEDEX,,Delivered,Pune,Bangalore,282.58,12/14/2024,NULL,NULL
SHO0347,DHL,11/26/2024,In Transit,Chennai,Delhi,NULL,NULL,NULL,NULL
SHO0348,DHL,07/08/2025,Delivered,Pune,Hyderabad,NULL,NULL,NULL,NULL
,FEDEX,02/10/2025,Delayed,Mumbai,Chennai,341.26,NULL,02/24/2025,NULL
SHO0357,BLUEDART,,In Transit,Pune,Chennai,224.14,NULL,NULL,NULL
SHO0359,BLUEDART,,Pending,Hyderabad,Delhi,34.9,12/05/2025,NULL,NULL
SHO0361,FEDEX,,Delayed,Chennai,Hyderabad,456.04,03/30/2025,04/03/2025,NULL
SHO0362,FEDEX,12/11/2025,Delivered,Pune,Mumbai,-15.46,12/16/2025,12/21/2025,5
SHO0365,DHL,06/06/2026,UNKNOWN,Delhi,Chennai,228.31,09/06/2026,NULL,NULL
SHO0366,FEDEX,,In Transit,Mumbai,Hyderabad,316.9,01/23/2024,NULL,NULL
SHO0368,FEDEX,,Pending,Delhi,Bangalore,234.5,12/06/2024,NULL,NULL
,DHL,11/02/2025,Pending,Mumbai,Hyderabad,451.93,06/11/2025,NULL,NULL
SHO0370,FEDEX,,UNKNOWN,Mumbai,Chennai,352.45,11/13/2024,NULL,NULL
SHO0374,BLUEDART,06/21/2025,Delivered,Chennai,Bangalore,NULL,06/23/2025,06/22/2025,0
SHO0376,BLUEDART,,Pending,Mumbai,Pune,-14.36,NULL,NULL,NULL
SHO0380,BLUEDART,10/08/2024,Pending,Mumbai,Hyderabad,302.49,08/15/2024,NULL,NULL
SHO0381,DHL,05/31/2024,UNKNOWN,Pune,Delhi,298.9,NULL,05/06/2024,NULL
SHO0382,BLUEDART,07/11/2025,Delivered,Delhi,Bangalore,325.91,NULL,NULL,NULL
SHO0383,FEDEX,10/26/2024,Pending,Chennai,Pune,-1.96,11/02/2024,NULL,NULL
SHO0384,BLUEDART,10/05/2025,Delivered,Chennai,Pune,319.42,NULL,05/19/2025,NULL
SHO0385,BLUEDART,,Delivered,Bangalore,Mumbai,24.35,NULL,NULL,NULL
,DHL,12/15/2024,In Transit,Pune,Mumbai,340.15,12/21/2024,NULL,NULL
SHO0390,BLUEDART,,Pending,Chennai,Mumbai,-12.23,07/14/2024,NULL,NULL
SHO0391,FEDEX,11/05/2024,Delayed,Hyderabad,Bangalore,-14.91,NULL,11/11/2024,NULL
SHO0392,BLUEDART,05/26/2024,UNKNOWN,Delhi,Mumbai,425.64,NULL,06/01/2024,NULL
SHO0393,BLUEDART,04/23/2025,Delayed,Pune,Mumbai,-20.2,NULL,05/05/2025,NULL
SHO0396,DHL,,Delivered,Bangalore,Chennai,404.98,09/05/2025,09/10/2025,5
SHO0397,FEDEX,05/04/2024,Accepted,Chennai,Hyderabad,385.36,04/12/2024,NULL,NULL
SHO0400,DHL,08/03/2024,In Transit,Mumbai,Chennai,40.78,03/15/2024,NULL,NULL
SHO0401,DHL,06/05/2026,Pending,Bangalore,Chennai,-13.69,05/12/2026,NULL,NULL
SHO0402,BLUEDART,05/21/2025,Delivered,Mumbai,Delhi,302.9,NULL,NULL,NULL
SHO0403,FEDEX,11/28/2025,In Transit,Hyderabad,Delhi,93.85,05/12/2025,NULL,NULL
SHO0404,DHL,,Pending,Delhi,Pune,481.38,NULL,NULL,NULL
SHO0405,FEDEX,,In Transit,Bangalore,Delhi,155.5,01/03/2026,NULL,NULL
SHO0406,DHL,,Delayed,Delhi,Hyderabad,-38.39,05/19/2024,NULL,NULL
SHO0407,BLUEDART,09/30/2025,Accepted,Chennai,Mumbai,183.55,05/10/2025,10/14/2025,NULL
SHO0408,FEDEX,,In Transit,Mumbai,Bangalore,-60.59,08/15/2025,NULL,NULL
SHO0410,BLUEDART,01/07/2025,Delivered,Pune,Mumbai,NULL,NULL,07/11/2025,NULL
SHO0411,BLUEDART,,Delayed,Delhi,Bangalore,284.99,09/29/2024,NULL,NULL
SHO0415,BLUEDART,,Delivered,Hyderabad,Chennai,146.24,04/12/2025,12/04/2025,236
SHO0417,DHL,,Accepted,Bangalore,Chennai,221.57,03/06/2026,NULL,NULL
SHO0418,BLUEDART,08/12/2024,Delivered,Mumbai,Delhi,84.31,NULL,08/13/2024,NULL
SHO0419,DHL,,In Transit,Pune,Bangalore,300.71,05/20/2024,NULL,NULL
SHO0421,DHL,07/01/2024,UNKNOWN,Chennai,Mumbai,205.39,04/07/2024,NULL,NULL
SHO0423,FEDEX,07/07/2025,In Transit,Bangalore,Pune,-78.08,07/14/2025,NULL,NULL
SHO0427,BLUEDART,07/02/2024,Accepted,Hyderabad,Pune,2.12,NULL,02/12/2024,NULL
SHO0430,BLUEDART,06/17/2024,Pending,Delhi,Bangalore,NULL,06/23/2024,NULL,NULL
SHO0431,DHL,,Delivered,Pune,Delhi,298.02,05/04/2024,NULL,NULL
SHO0432,BLUEDART,07/03/2024,Delivered,Pune,Bangalore,209.93,05/07/2024,07/07/2024,61
SHO0434,DHL,,In Transit,Pune,Mumbai,172.11,NULL,NULL,NULL
SHO0435,DHL,08/01/2026,Pending,Pune,Delhi,263.77,01/12/2026,NULL,NULL
SHO0439,BLUEDART,12/01/2024,Accepted,Hyderabad,Delhi,256.09,07/12/2024,NULL,NULL
SHO0440,FEDEX,05/05/2025,Delivered,Chennai,Mumbai,382.85,05/07/2025,NULL,NULL
SHO0441,BLUEDART,06/05/2025,Delivered,Pune,Hyderabad,96.81,NULL,NULL,NULL
SHO0442,FEDEX,12/21/2025,Delivered,Bangalore,Mumbai,-79.21,NULL,12/27/2025,NULL
SHO0443,DHL,,In Transit,Bangalore,Pune,NULL,NULL,NULL,NULL
SHO0444,BLUEDART,07/28/2025,Delivered,Chennai,Pune,368.67,NULL,08/03/2025,NULL
SHO0447,DHL,,Delivered,Hyderabad,Mumbai,5.81,NULL,04/28/2024,NULL
SHO0448,BLUEDART,,Delayed,Pune,Mumbai,-67.22,07/15/2024,07/24/2024,NULL
SHO0449,BLUEDART,11/07/2024,Pending,Mumbai,Chennai,-3.47,11/11/2024,NULL,NULL
SHO0450,DHL,,Pending,Chennai,Hyderabad,85.44,NULL,NULL,NULL
SHO0451,FEDEX,,In Transit,Delhi,Mumbai,246.24,07/09/2024,NULL,NULL
,BLUEDART,03/29/2026,Accepted,Bangalore,Hyderabad,342.56,NULL,NULL,NULL
SHO0454,BLUEDART,,Delayed,Hyderabad,Chennai,109.29,06/01/2025,01/10/2025,NULL
SHO0455,DHL,,Pending,Chennai,Mumbai,104.3,07/24/2024,NULL,NULL
SHO0458,FEDEX,,Delivered,Pune,Hyderabad,450.36,02/28/2025,NULL,NULL
SHO0461,BLUEDART,08/06/2025,Delivered,Pune,Mumbai,253.65,06/12/2025,06/12/2025,0
SHO0462,FEDEX,,Pending,Pune,Mumbai,290.59,10/27/2024,NULL,NULL
SHO0467,FEDEX,04/20/2024,UNKNOWN,Pune,Delhi,379.97,04/26/2024,NULL,NULL
SHO0471,BLUEDART,,In Transit,Hyderabad,Chennai,328.74,02/25/2026,NULL,NULL
SHO0472,FEDEX,02/21/2025,In Transit,Hyderabad,Bangalore,NULL,02/26/2025,NULL,NULL
SHO0476,DHL,04/30/2026,Delayed,Bangalore,Pune,208.92,02/05/2026,NULL,NULL
SHO0477,FEDEX,,Accepted,Mumbai,Hyderabad,208.78,11/02/2024,04/11/2024,NULL
SHO0478,FEDEX,,Delayed,Mumbai,Chennai,-60.94,04/21/2025,04/26/2025,NULL
SHO0480,FEDEX,,Delayed,Pune,Hyderabad,-5.65,NULL,09/06/2025,NULL
SHO0481,DHL,09/10/2024,UNKNOWN,Bangalore,Hyderabad,295.89,NULL,NULL,NULL
SHO0482,FEDEX,07/03/2025,In Transit,Chennai,Bangalore,-68.17,03/12/2025,NULL,NULL
SHO0484,BLUEDART,09/28/2024,Delayed,Hyderabad,Mumbai,92.45,04/10/2024,NULL,NULL
SHO0490,DHL,12/03/2026,Delayed,Bangalore,Mumbai,-47.91,03/14/2026,03/20/2026,NULL
SHO0491,BLUEDART,,Pending,Hyderabad,Delhi,346.0,NULL,NULL,NULL
SHO0492,DHL,,Pending,Delhi,Mumbai,347.6,05/09/2026,NULL,NULL
SHO0493,BLUEDART,06/30/2025,In Transit,Pune,Chennai,325.78,02/07/2025,NULL,NULL
SHO0494,BLUEDART,,Delivered,Delhi,Mumbai,480.75,NULL,01/26/2024,NULL
SHO0496,DHL,,Delayed,Delhi,Hyderabad,451.22,06/06/2026,06/12/2026,NULL
SHO0497,FEDEX,,Accepted,Bangalore,Mumbai,-21.77,06/19/2026,NULL,NULL
,BLUEDART,03/04/2025,Delayed,Bangalore,Hyderabad,156.94,03/07/2025,03/08/2025,NULL
