shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered_Date
SHO0031,FEDEX,4/12/2024,Delivered,Delhi,Bangalore,492.08,4/18/2024,4/21/2024
SHO0032,FEDEX,21-04-2024,PENDING,Delhi,Mumbai,493.38,23-04-2024,not-a-date
SHO0033,BLUEDART,4/3/2024,in_transit,Bangalore,Hyderabad,109.39,10/4/2024,
SHO0034,FEDEX,3/24/2024,in_transit,Bangalore,Mumbai,372.83,3/30/2024,
SHO0035,BLUEDART,4/13/2024,Pending,Chennai,Delhi,430.16,4/17/2024,
SHO0036,FEDEX,5/10/2024,pending,Bangalore,Hyderabad,413.37,5/17/2024,
SHO0037,DHL,2/27/2024,delivered,Bangalore,Delhi,163.63,29-02-2024,27-02-2024
SHO0038,DHL,5/6/2024,in_transit,Bangalore,Mumbai,182.47,5/13/2024,
SHO0039,FEDEX,4/3/2024,,Pune,Bangalore,130.97,7/3/2024,
SHO0040,BLUEDART,4/19/2024,,Bangalore,Chennai,460.88,24-04-2024,
SHO0041,BLUEDART,3/11/2024,pending,Mumbai,Hyderabad,112.54,3/15/2024,
SHO0042,FEDEX,6/29/2024,In Transit,Bangalore,Hyderabad,106.98,4/7/2024,
SHO0043,BLUEDART,5/27/2024,in_transit,Bangalore,Pune,280.33,31-05-2024,
SHO0044,BLUEDART,5/4/2024,In Transit,Chennai,Hyderabad,194.63,9/5/2024,
SHO0045,FEDEX,5/16/2024,Delayed,Hyderabad,Bangalore,460.91,5/22/2024,1/6/2024
SHO0046,DHL,3/27/2024,delivered,Mumbai,Delhi,449.45,not-a-date,4/4/2024
SHO0047,BLUEDART,8/1/2024,In Transit,Pune,Hyderabad,163.73,1/10/2024,
SHO0048,FEDEX,4/4/2024,delayed,Bangalore,Delhi,334.47,4/11/2024,4/13/2024
SHO0049,FEDEX,1/20/2024,PENDING,Mumbai,Hyderabad,370.06,1/27/2024,
SHO0050,BLUEDART,16-05-2024,in_transit,Pune,Mumbai,357.84,not-a-date,
SHO0051,FEDEX,6/30/2024,delayed,Bangalore,Mumbai,262.9,7/7/2024,16-07-2024
SHO0052,FEDEX,12/3/2024,pending,Hyderabad,Pune,182.42,17-03-2024,
SHO0053,FEDEX,3/7/2024,in-transit,Hyderabad,Mumbai,197.46,not-a-date,
SHO0054,FEDEX,25-06-2024,pending,Chennai,Hyderabad,351.28,6/30/2024,
SHO0055,BLUEDART,21-05-2024,Pending,Delhi,Chennai,224.38,5/28/2024,
SHO0056,BLUEDART,1/31/2024,DELIVERED,Hyderabad,Mumbai,305.06,2/7/2024,7/2/2024
SHO0057,DHL,28-02-2024,in-transit,Hyderabad,Mumbai,155.37,3/1/2024,
SHO0058,DHL,27-01-2024,,Bangalore,Mumbai,85.15,31-01-2024,
SHO0059,FEDEX,4/12/2024,pending,Pune,Hyderabad,111.11,4/19/2024,
SHO0060,DHL,4/6/2024,PENDING,Chennai,Mumbai,412.11,7/6/2024,
SHO0061,FEDEX,1/16/2024,PENDING,Chennai,Bangalore,483.25,1/18/2024,
SHO0062,DHL,4/25/2024,DELIVERED,Pune,Chennai,329.4,4/29/2024,4/27/2024
SHO0063,BLUEDART,4/18/2024,DELAYED,Chennai,Hyderabad,308.72,4/25/2024,4/28/2024
SHO0064,FEDEX,29-04-2024,DELIVERED,Mumbai,Pune,207.72,4/5/2024,6/5/2024
SHO0065,BLUEDART,24-01-2024,Unknown,Delhi,Pune,484,1/30/2024,
SHO0066,DHL,15-06-2024,pending,Mumbai,Bangalore,464.75,18-06-2024,
SHO0067,FEDEX,2/11/2024,in-transit,Delhi,Pune,252.89,16-02-2024,
SHO0068,FEDEX,11/5/2024,,Pune,Chennai,495.01,18-05-2024,
SHO0069,BLUEDART,22-02-2024,IN TRANS,Mumbai,Pune,310.67,26-02-2024,
SHO0070,DHL,1/4/2024,Pending,Delhi,Bangalore,251.36,7/1/2024,
SHO0071,FEDEX,4/16/2024,,Chennai,Delhi,282.65,21-04-2024,
SHO0072,DHL,4/16/2024,in-transit,Pune,Mumbai,472.38,4/22/2024,
SHO0073,FEDEX,17-05-2024,pending,Hyderabad,Chennai,224.95,23-05-2024,
SHO0074,BLUEDART,15-04-2024,Delayed,Mumbai,Hyderabad,213.63,4/20/2024,27-04-2024
SHO0075,DHL,14-05-2024,pending,Mumbai,Pune,86.45,5/17/2024,
SHO0076,FEDEX,25-03-2024,,Bangalore,Pune,363.23,3/31/2024,
SHO0077,BLUEDART,10/6/2024,Unknown,Pune,Delhi,466.79,6/13/2024,6/12/2024
SHO0078,DHL,5/4/2024,in_transit,Delhi,Mumbai,141.14,11/4/2024,
SHO0079,FEDEX,5/7/2024,PENDING,Chennai,Hyderabad,140.11,12/5/2024,not-a-date
SHO0080,BLUEDART,1/19/2024,pending,Chennai,Hyderabad,477,25-01-2024,
SHO0081,FEDEX,4/7/2024,PENDING,Pune,Delhi,230.76,4/11/2024,
SHO0082,BLUEDART,4/6/2024,DELIVERED,Bangalore,Pune,288.63,6/8/2024,6/9/2024
SHO0083,BLUEDART,6/9/2024,DELAYED,Bangalore,Hyderabad,459.43,16-06-2024,6/17/2024
SHO0084,BLUEDART,21-02-2024,delayed,Mumbai,Hyderabad,410.34,2/25/2024,3/5/2024
SHO0085,BLUEDART,29-04-2024,DELAYED,Delhi,Pune,139.12,5/2/2024,not-a-date
SHO0086,BLUEDART,5/29/2024,in_transit,Bangalore,Delhi,425.42,6/2/2024,
SHO0087,BLUEDART,6/11/2024,,Hyderabad,Pune,274.99,18-06-2024,not-a-date
SHO0088,DHL,17-05-2024,delayed,Pune,Delhi,243.23,21-05-2024,5/30/2024
SHO0089,FEDEX,2/25/2024,pending,Pune,Mumbai,266.77,2/28/2024,
SHO0090,DHL,2/18/2024,DELAYED,Mumbai,Delhi,478.58,23-02-2024,2/25/2024
SHO0091,DHL,2/23/2024,PENDING,Pune,Bangalore,170.7,2/26/2024,
SHO0092,DHL,2/14/2024,DELAYED,Chennai,Delhi,357.64,2/16/2024,not-a-date
SHO0093,FEDEX,17-01-2024,Unknown,Chennai,Pune,268.28,21-01-2024,
SHO0094,BLUEDART,27-04-2024,Delivered,Chennai,Delhi,484.89,29-04-2024,5/4/2024
SHO0095,BLUEDART,2/2/2024,IN TRANS,Hyderabad,Pune,342.21,2/8/2024,
SHO0096,FEDEX,16-06-2024,Delivered,Pune,Hyderabad,448.64,22-06-2024,6/23/2024
SHO0097,FEDEX,19-06-2024,IN TRANS,Mumbai,Delhi,237.21,6/22/2024,
SHO0098,FEDEX,1/16/2024,PENDING,Hyderabad,Bangalore,481.78,1/22/2024,
SHO0099,BLUEDART,2/6/2024,IN TRANS,Pune,Mumbai,227.69,6/8/2024,
SHO0100,BLUEDART,12/3/2024,,Delhi,Pune,174.99,17-03-2024,
