shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered_Date,delay_days
SHO0078,DHL,05/04/2024,In Transit,Delhi,Mumbai,141.14,11/04/2024,,184.0
SHO0079,FEDEX,05/07/2024,Pending,Chennai,Hyderabad,140.11,12/05/2024,,212.0
SHO0080,BLUEDART,01/19/2024,Pending,Chennai,Hyderabad,477.0,,,
SHO0081,FEDEX,04/07/2024,Pending,Pune,Delhi,230.76,04/11/2024,,4.0
SHO0083,BLUEDART,06/09/2024,Delayed,Bangalore,Hyderabad,459.43,,06/17/2024,
SHO0084,BLUEDART,,Delayed,Mumbai,Hyderabad,410.34,02/25/2024,03/05/2024,
SHO0085,BLUEDART,,Delayed,Delhi,Pune,139.12,05/02/2024,,
SHO0086,BLUEDART,05/29/2024,In Transit,Bangalore,Delhi,425.42,06/02/2024,,4.0
SHO0087,BLUEDART,06/11/2024,Accepted,Hyderabad,Pune,274.99,,,
SHO0088,DHL,,Delayed,Pune,Delhi,243.23,,05/30/2024,
SHO0089,FEDEX,02/25/2024,Pending,Pune,Mumbai,266.77,02/28/2024,,3.0
SHO0090,DHL,02/18/2024,Delayed,Mumbai,Delhi,478.58,,02/25/2024,
SHO0091,DHL,02/23/2024,Pending,Pune,Bangalore,170.7,02/26/2024,,3.0
SHO0092,DHL,02/14/2024,Delayed,Chennai,Delhi,357.64,02/16/2024,,2.0
SHO0093,FEDEX,,UNKNOWN,Chennai,Pune,268.28,,,
SHO0094,BLUEDART,,Delivered,Chennai,Delhi,484.89,,05/04/2024,
SHO0095,BLUEDART,02/02/2024,IN TRANS,Hyderabad,Pune,342.21,02/08/2024,,6.0
SHO0096,FEDEX,,Delivered,Pune,Hyderabad,448.64,,06/23/2024,
SHO0097,FEDEX,,IN TRANS,Mumbai,Delhi,237.21,06/22/2024,,
SHO0098,FEDEX,01/16/2024,Pending,Hyderabad,Bangalore,481.78,01/22/2024,,6.0
SHO0099,BLUEDART,02/06/2024,IN TRANS,Pune,Mumbai,227.69,06/08/2024,,123.0
SHO0100,BLUEDART,12/03/2024,Accepted,Delhi,Pune,174.99,,,
