shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered Date,delay_days
SHO0128,DHL,03/06/2026,Pending,Delhi,Chennai,162.52,06/06/2026,,
SHO0129,FEDEX,06/02/2025,Pending,Pune,Hyderabad,185.19,02/09/2025,,
SHO0130,BLUEDART,17/03/2025,Delayed,Pune,Hyderabad,431.82,24/03/2025,30/03/2025,
SHO0134,BLUEDART,09/03/2025,Pending,Bangalore,Pune,74.01,09/10/2025,,
SHO0135,FEDEX,02/02/2024,Pending,Hyderabad,Delhi,469.96,04/02/2024,,
SHO0137,BLUEDART,16/09/2025,Pending,Bangalore,Delhi,31.51,19/09/2025,,
SHO0138,FEDEX,23/12/2024,Pending,Delhi,Chennai,461.55,30/12/2024,,
SHO0140,BLUEDART,21/02/2024,Delivered,Hyderabad,Delhi,445.01,24/02/2024,25/02/2024,1
SHO0143,FEDEX,18/10/2025,Pending,Delhi,Chennai,224.1,21/10/2025,,
SHO0148,DHL,24/06/2025,Delivered,Chennai,Mumbai,129.84,30/06/2025,29/06/2025,0
SHO0149,BLUEDART,04/03/2024,Pending,Chennai,Mumbai,178.38,05/04/2024,,
SHO0150,FEDEX,02/02/2026,In Transit,Delhi,Pune,255.42,04/02/2026,,
SHO0151,FEDEX,26/02/2026,Delayed,Mumbai,Hyderabad,364.18,03/05/2026,03/12/2026,
SHO0154,DHL,04/02/2024,Pending,Pune,Bangalore,266.72,11/02/2024,,
SHO0155,BLUEDART,15/04/2026,Delivered,Delhi,Hyderabad,254.14,21/04/2026,24/04/2026,3
SHO0157,BLUEDART,19/05/2026,In Transit,Mumbai,Hyderabad,94.43,26/05/2026,,
SHO0159,BLUEDART,10/08/2024,Pending,Bangalore,Chennai,41.16,14/08/2024,,
SHO0161,BLUEDART,27/07/2024,In Transit,Mumbai,Delhi,101.49,29/07/2024,,
SHO0166,BLUEDART,14/04/2026,In Transit,Chennai,Delhi,75.05,19/04/2026,,
SHO0168,DHL,23/08/2024,In Transit,Chennai,Pune,442.74,30/08/2024,,
SHO0169,DHL,31/07/2024,Pending,Delhi,Pune,3.63,07/08/2024,,
SHO0170,FEDEX,20/03/2026,Delivered,Bangalore,Hyderabad,340.01,26/03/2026,29/03/2026,3
SHO0171,FEDEX,13/03/2026,Pending,Pune,Mumbai,204.55,17/03/2026,,
SHO0181,FEDEX,19/04/2025,Delivered,Delhi,Chennai,314.14,26/04/2025,26/04/2025,0
SHO0182,FEDEX,14/03/2026,In Transit,Delhi,Chennai,222.25,18/03/2026,,
SHO0189,DHL,10/08/2024,In Transit,Delhi,Pune,231.81,10/11/2024,,
SHO0192,BLUEDART,05/07/2025,Delayed,Delhi,Bangalore,107.72,07/12/2025,17/07/2025,
SHO0195,BLUEDART,12/10/2025,Delivered,Pune,Chennai,324.43,14/10/2025,18/10/2025,4
SHO0196,FEDEX,17/02/2024,Delayed,Bangalore,Pune,283.18,22/02/2024,23/02/2024,
SHO0201,DHL,25/12/2024,In Transit,Chennai,Mumbai,102.41,28/12/2024,,
SHO0203,FEDEX,13/03/2024,Pending,Bangalore,Chennai,435.46,15/03/2024,,
SHO0204,DHL,03/10/2024,Delayed,Pune,Bangalore,72.07,03/12/2024,13/03/2024,
SHO0210,BLUEDART,17/08/2024,In Transit,Bangalore,Mumbai,63.99,24/08/2024,,
SHO0211,BLUEDART,11/03/2024,Pending,Pune,Chennai,422.3,15/03/2024,,
SHO0215,FEDEX,21/11/2024,Pending,Bangalore,Delhi,77.73,23/11/2024,,
SHO0217,DHL,30/12/2024,In Transit,Pune,Delhi,217.81,06/01/2025,,
SHO0218,DHL,03/04/2026,Delivered,Mumbai,Pune,1.08,05/04/2026,03/04/2026,0
SHO0219,DHL,21/07/2024,Delivered,Pune,Hyderabad,177.19,24/07/2024,23/07/2024,0
SHO0220,FEDEX,25/06/2024,In Transit,Bangalore,Mumbai,44.54,28/06/2024,,
SHO0223,FEDEX,24/02/2026,Pending,Chennai,Delhi,499.77,27/02/2026,,
SHO0226,FEDEX,05/04/2026,Delayed,Chennai,Hyderabad,117.64,08/04/2026,14/04/2026,
SHO0231,FEDEX,19/06/2024,In Transit,Bangalore,Mumbai,205.99,24/06/2024,,
SHO0232,FEDEX,28/10/2024,Delayed,Pune,Hyderabad,104.86,30/10/2024,11/01/2024,
SHO0233,FEDEX,17/03/2025,Delivered,Bangalore,Pune,15.7,22/03/2025,22/03/2025,0
SHO0235,DHL,24/03/2024,Pending,Hyderabad,Mumbai,409.39,28/03/2024,,
SHO0238,BLUEDART,24/11/2025,Pending,Chennai,Bangalore,5.52,29/11/2025,,
SHO0240,BLUEDART,19/06/2025,Delivered,Chennai,Bangalore,163.36,24/06/2025,24/06/2025,0
SHO0242,FEDEX,20/02/2024,Delivered,Bangalore,Hyderabad,195.63,24/02/2024,27/02/2024,3
SHO0243,FEDEX,03/03/2026,Accepted,Bangalore,Mumbai,106.1,03/10/2026,,
SHO0245,FEDEX,22/12/2025,Accepted,Pune,Mumbai,78.91,27/12/2025,,
SHO0247,DHL,24/11/2025,In Transit,Bangalore,Hyderabad,76.07,29/11/2025,,
SHO0248,DHL,14/09/2025,Delivered,Hyderabad,Mumbai,466.94,21/09/2025,23/09/2025,2
SHO0250,BLUEDART,06/02/2024,Pending,Delhi,Hyderabad,363.98,06/04/2024,,
SHO0253,DHL,01/02/2026,Accepted,Delhi,Hyderabad,98.11,05/02/2026,,
SHO0258,FEDEX,02/09/2025,Pending,Mumbai,Bangalore,115.94,09/09/2025,,
SHO0259,DHL,14/01/2026,Accepted,Hyderabad,Delhi,42.49,16/01/2026,26/01/2026,
SHO0263,DHL,23/04/2024,Accepted,Pune,Hyderabad,253.01,28/04/2024,,
SHO0266,BLUEDART,26/10/2025,Delivered,Mumbai,Chennai,16.73,29/10/2025,27/10/2025,0
SHO0269,DHL,25/02/2024,Delayed,Chennai,Bangalore,293.17,28/02/2024,08/03/2024,
SHO0273,BLUEDART,18/06/2025,In Transit,Delhi,Bangalore,327.22,20/06/2025,,
SHO0276,BLUEDART,15/09/2025,Delivered,Mumbai,Chennai,362.18,19/09/2025,23/09/2025,4
SHO0278,BLUEDART,28/12/2025,Delayed,Bangalore,Delhi,361.25,01/03/2026,,
SHO0279,DHL,26/01/2024,In Transit,Chennai,Pune,4.29,02/02/2024,,
SHO0283,BLUEDART,11/02/2024,In Transit,Pune,Chennai,81.89,15/02/2024,,
SHO0284,FEDEX,03/03/2026,Delivered,Chennai,Pune,277.05,03/10/2026,03/12/2026,61
SHO0285,BLUEDART,10/07/2025,Pending,Hyderabad,Chennai,153.98,14/07/2025,,
SHO0288,DHL,03/08/2024,Delivered,Bangalore,Pune,285.12,06/08/2024,08/10/2024,63
SHO0289,BLUEDART,15/04/2025,Delivered,Hyderabad,Pune,112.39,17/04/2025,16/04/2025,0
SHO0291,DHL,25/01/2025,In Transit,Delhi,Chennai,396.83,27/01/2025,,
SHO0298,DHL,18/02/2025,Delivered,Chennai,Bangalore,262.22,20/02/2025,22/02/2025,2
SHO0300,DHL,02/01/2025,Delayed,Bangalore,Mumbai,46.92,07/01/2025,11/01/2025,
SHO0302,BLUEDART,16/08/2024,Pending,Delhi,Chennai,155.39,20/08/2024,,
SHO0305,BLUEDART,18/06/2026,Delivered,Bangalore,Pune,342.23,22/06/2026,21/06/2026,0
SHO0309,BLUEDART,11/03/2025,Delayed,Chennai,Pune,67.62,14/03/2025,16/03/2025,
SHO0311,FEDEX,19/07/2025,Delivered,Hyderabad,Chennai,243.39,22/07/2025,25/07/2025,3
SHO0312,BLUEDART,02/04/2025,Delivered,Pune,Delhi,325.6,04/05/2025,04/04/2025,0
SHO0313,BLUEDART,23/04/2026,Accepted,Pune,Hyderabad,193.57,29/04/2026,06/05/2026,
SHO0314,BLUEDART,28/02/2024,Delivered,Delhi,Bangalore,395.73,06/03/2024,11/03/2024,5
SHO0316,DHL,18/10/2024,Delivered,Pune,Bangalore,401.26,24/10/2024,27/10/2024,3
SHO0318,DHL,28/11/2025,Pending,Delhi,Chennai,439.98,30/11/2025,,
SHO0319,FEDEX,02/07/2025,Delayed,Delhi,Bangalore,326.47,06/07/2025,07/10/2025,
SHO0321,DHL,21/03/2024,Delivered,Pune,Hyderabad,474.35,26/03/2024,24/03/2024,0
SHO0322,DHL,11/02/2025,In Transit,Chennai,Delhi,355.1,14/02/2025,,
SHO0323,DHL,16/12/2025,Pending,Mumbai,Pune,186.84,23/12/2025,,
SHO0324,FEDEX,27/04/2025,Pending,Hyderabad,Mumbai,119.0,30/04/2025,,
SHO0325,DHL,13/04/2026,Delayed,Chennai,Hyderabad,338.07,16/04/2026,25/04/2026,
SHO0326,BLUEDART,07/01/2026,In Transit,Chennai,Bangalore,375.49,01/11/2026,,
SHO0327,BLUEDART,02/01/2026,Accepted,Pune,Chennai,70.67,02/05/2026,,
SHO0329,DHL,07/03/2025,Delivered,Hyderabad,Mumbai,275.14,12/03/2025,11/03/2025,0
SHO0330,FEDEX,17/06/2025,Pending,Delhi,Bangalore,160.11,20/06/2025,,
SHO0331,DHL,18/06/2026,Pending,Pune,Hyderabad,238.09,20/06/2026,,
SHO0333,BLUEDART,31/03/2025,Delayed,Delhi,Bangalore,482.33,04/07/2025,16/04/2025,
SHO0335,DHL,12/02/2026,Pending,Bangalore,Mumbai,93.77,17/02/2026,,
SHO0337,BLUEDART,26/02/2025,In Transit,Chennai,Delhi,415.02,01/03/2025,,
SHO0342,FEDEX,20/06/2024,Delivered,Delhi,Pune,80.14,22/06/2024,26/06/2024,4
SHO0344,FEDEX,22/01/2024,Delivered,Mumbai,Hyderabad,139.11,29/01/2024,29/01/2024,0
SHO0345,FEDEX,08/10/2024,Accepted,Bangalore,Mumbai,402.18,14/10/2024,,
SHO0346,BLUEDART,23/06/2026,Delayed,Mumbai,Hyderabad,279.45,27/06/2026,,
SHO0350,BLUEDART,12/01/2026,In Transit,Pune,Hyderabad,228.36,15/01/2026,,
SHO0351,BLUEDART,21/11/2025,Pending,Chennai,Delhi,327.48,26/11/2025,,
SHO0356,DHL,08/02/2024,Delivered,Chennai,Delhi,388.84,13/02/2024,12/02/2024,0
SHO0358,FEDEX,31/05/2025,Accepted,Chennai,Bangalore,48.81,04/06/2025,11/06/2025,
SHO0360,FEDEX,01/04/2024,Delayed,Bangalore,Chennai,309.61,06/04/2024,12/04/2024,
SHO0363,DHL,20/01/2025,Pending,Bangalore,Pune,445.5,26/01/2025,,
SHO0371,BLUEDART,24/08/2024,Pending,Chennai,Bangalore,54.67,31/08/2024,,
SHO0372,DHL,30/04/2025,Delayed,Mumbai,Chennai,15.0,03/05/2025,04/05/2025,
SHO0373,FEDEX,12/05/2025,In Transit,Chennai,Mumbai,422.73,12/08/2025,,
SHO0375,BLUEDART,25/10/2024,Pending,Pune,Delhi,150.86,29/10/2024,,
SHO0378,BLUEDART,12/06/2024,In Transit,Chennai,Bangalore,239.2,14/06/2024,,
SHO0386,FEDEX,07/12/2024,In Transit,Mumbai,Pune,245.04,14/12/2024,,
SHO0388,DHL,04/10/2025,Pending,Mumbai,Hyderabad,437.39,10/10/2025,,
SHO0389,FEDEX,20/01/2024,Accepted,Chennai,Bangalore,254.89,24/01/2024,,
SHO0394,BLUEDART,06/01/2024,Delayed,Pune,Mumbai,78.71,06/03/2024,13/06/2024,
SHO0395,DHL,14/11/2024,Pending,Hyderabad,Pune,437.5,20/11/2024,,
SHO0396,DHL,29/08/2025,Delivered,Bangalore,Chennai,404.98,05/09/2025,10/09/2025,5
SHO0399,BLUEDART,04/06/2025,Delayed,Chennai,Hyderabad,155.3,06/11/2025,,
SHO0405,FEDEX,29/12/2025,In Transit,Bangalore,Delhi,155.5,03/01/2026,,
SHO0409,FEDEX,21/03/2024,Pending,Mumbai,Bangalore,436.15,23/03/2024,,
SHO0411,BLUEDART,23/09/2024,Delayed,Delhi,Bangalore,284.99,29/09/2024,,
SHO0413,FEDEX,11/05/2025,Delayed,Bangalore,Hyderabad,383.64,13/05/2025,19/05/2025,
SHO0416,DHL,14/05/2026,In Transit,Chennai,Delhi,274.08,21/05/2026,,
SHO0418,BLUEDART,12/08/2024,Delivered,Mumbai,Delhi,84.31,15/08/2024,13/08/2024,0
SHO0419,DHL,13/05/2024,In Transit,Pune,Bangalore,300.71,20/05/2024,,
SHO0420,FEDEX,20/09/2024,Delayed,Mumbai,Delhi,372.82,24/09/2024,25/09/2024,
SHO0422,FEDEX,01/06/2024,Accepted,Pune,Chennai,291.39,03/06/2024,,
SHO0424,BLUEDART,07/01/2025,Accepted,Pune,Mumbai,477.34,03/07/2025,,
SHO0426,FEDEX,17/01/2024,Delayed,Chennai,Mumbai,116.79,21/01/2024,22/01/2024,
SHO0428,DHL,23/06/2024,Accepted,Mumbai,Bangalore,262.8,25/06/2024,,
SHO0429,BLUEDART,28/11/2024,Delayed,Bangalore,Mumbai,485.99,04/12/2024,13/12/2024,
SHO0433,BLUEDART,20/04/2025,Delivered,Chennai,Hyderabad,283.35,23/04/2025,25/04/2025,2
SHO0436,FEDEX,13/08/2024,Delayed,Hyderabad,Chennai,193.17,18/08/2024,19/08/2024,
SHO0437,FEDEX,10/05/2024,Delayed,Hyderabad,Mumbai,321.48,12/05/2024,17/05/2024,
SHO0438,BLUEDART,14/08/2025,Pending,Chennai,Hyderabad,415.9,16/08/2025,,
SHO0444,BLUEDART,28/07/2025,Delivered,Chennai,Pune,368.67,31/07/2025,03/08/2025,3
SHO0445,DHL,30/09/2024,Pending,Delhi,Mumbai,314.53,04/10/2024,,
SHO0446,BLUEDART,27/09/2025,In Transit,Delhi,Chennai,383.94,04/10/2025,,
SHO0454,BLUEDART,31/12/2024,Delayed,Hyderabad,Chennai,109.29,01/06/2025,10/01/2025,
SHO0455,DHL,18/07/2024,Pending,Chennai,Mumbai,104.3,24/07/2024,,
SHO0457,FEDEX,22/05/2024,Accepted,Bangalore,Mumbai,260.56,24/05/2024,,
SHO0459,FEDEX,20/05/2025,Pending,Chennai,Delhi,349.12,23/05/2025,,
SHO0460,FEDEX,18/05/2025,Delivered,Mumbai,Hyderabad,293.98,20/05/2025,19/05/2025,0
SHO0462,FEDEX,25/10/2024,Pending,Pune,Mumbai,290.59,27/10/2024,,
SHO0463,BLUEDART,02/12/2025,Delivered,Delhi,Mumbai,319.24,04/12/2025,07/12/2025,3
SHO0466,FEDEX,15/08/2024,Delayed,Pune,Hyderabad,416.95,18/08/2024,22/08/2024,
SHO0470,DHL,10/01/2025,Delivered,Chennai,Mumbai,261.84,15/01/2025,14/01/2025,0
SHO0473,BLUEDART,24/03/2025,Pending,Pune,Chennai,301.96,26/03/2025,,
SHO0474,FEDEX,24/07/2024,Pending,Hyderabad,Mumbai,409.54,29/07/2024,,
SHO0475,BLUEDART,05/02/2025,Delivered,Mumbai,Delhi,269.84,07/05/2025,12/05/2025,5
SHO0477,FEDEX,27/10/2024,Accepted,Mumbai,Hyderabad,208.78,02/11/2024,11/04/2024,
SHO0479,BLUEDART,08/08/2025,Pending,Bangalore,Chennai,196.03,11/08/2025,,
SHO0483,BLUEDART,23/05/2025,Pending,Hyderabad,Mumbai,390.65,30/05/2025,,
SHO0485,BLUEDART,02/08/2024,In Transit,Mumbai,Chennai,381.48,08/09/2024,,
SHO0486,FEDEX,07/03/2024,Delayed,Bangalore,Chennai,284.15,07/09/2024,12/07/2024,
SHO0487,FEDEX,18/06/2025,In Transit,Chennai,Pune,131.28,21/06/2025,,
SHO0489,FEDEX,22/03/2025,In Transit,Mumbai,Bangalore,295.21,24/03/2025,,
SHO0495,FEDEX,07/01/2025,Accepted,Bangalore,Pune,57.1,06/07/2025,,
SHO0498,DHL,07/10/2025,Pending,Pune,Delhi,378.79,10/10/2025,,
SHO0499,BLUEDART,12/03/2025,In Transit,Hyderabad,Bangalore,379.73,12/07/2025,,
SHO0500,DHL,05/07/2024,In Transit,Mumbai,Delhi,428.31,11/07/2024,,
SHO0501,DHL,20/02/2024,In Transit,Delhi,Hyderabad,278.44,26/02/2024,,
SHO0502,FEDEX,01/05/2024,In Transit,Bangalore,Mumbai,333.87,04/05/2024,,
SHO0505,FEDEX,27/12/2025,Delivered,Chennai,Bangalore,389.71,29/12/2025,31/12/2025,2
SHO0506,FEDEX,19/05/2025,In Transit,Hyderabad,Bangalore,429.18,22/05/2025,,
SHO0508,BLUEDART,24/02/2024,In Transit,Bangalore,Mumbai,6.2,27/02/2024,,
SHO0509,FEDEX,11/05/2025,Pending,Delhi,Bangalore,205.93,18/05/2025,,
SHO0510,BLUEDART,08/05/2024,Pending,Bangalore,Chennai,498.84,08/07/2024,,
SHO0524,BLUEDART,01/01/2026,Delayed,Mumbai,Hyderabad,226.42,01/06/2026,16/01/2026,
SHO0525,FEDEX,22/01/2024,Delayed,Bangalore,Mumbai,87.05,25/01/2024,02/02/2024,
SHO0531,DHL,25/03/2025,In Transit,Pune,Delhi,366.15,27/03/2025,,
SHO0538,FEDEX,02/08/2025,Delivered,Hyderabad,Bangalore,438.72,09/08/2025,10/08/2025,1
SHO0539,DHL,19/08/2025,In Transit,Delhi,Bangalore,397.25,23/08/2025,,
SHO0540,DHL,13/01/2025,Delivered,Mumbai,Pune,225.23,19/01/2025,23/01/2025,4
SHO0543,DHL,07/03/2025,Delayed,Hyderabad,Bangalore,463.36,11/03/2025,,
SHO0545,FEDEX,11/11/2025,Pending,Pune,Bangalore,157.58,14/11/2025,,
SHO0547,FEDEX,03/05/2024,Delivered,Chennai,Pune,462.99,06/05/2024,04/05/2024,0
SHO0551,BLUEDART,02/10/2024,Pending,Hyderabad,Pune,478.82,09/10/2024,,
SHO0552,BLUEDART,17/01/2025,Accepted,Hyderabad,Delhi,491.48,20/01/2025,,
SHO0564,BLUEDART,10/09/2024,Delayed,Delhi,Mumbai,194.67,14/09/2024,15/09/2024,
SHO0565,DHL,21/01/2025,In Transit,Pune,Hyderabad,436.25,28/01/2025,,
SHO0567,BLUEDART,13/12/2024,Delivered,Chennai,Pune,463.8,15/12/2024,20/12/2024,5
SHO0568,BLUEDART,19/09/2024,Accepted,Hyderabad,Bangalore,164.18,26/09/2024,,
SHO0569,BLUEDART,20/08/2025,Pending,Delhi,Mumbai,369.79,23/08/2025,,
SHO0573,DHL,26/03/2025,In Transit,Hyderabad,Mumbai,286.17,30/03/2025,,
SHO0575,FEDEX,23/06/2025,Delivered,Bangalore,Hyderabad,498.66,28/06/2025,27/06/2025,0
SHO0576,DHL,24/08/2025,In Transit,Pune,Bangalore,415.57,28/08/2025,,
SHO0577,FEDEX,14/03/2026,Pending,Hyderabad,Pune,378.78,20/03/2026,,
SHO0579,DHL,09/11/2024,In Transit,Mumbai,Hyderabad,435.45,15/11/2024,,
SHO0583,DHL,22/04/2026,In Transit,Delhi,Mumbai,374.21,27/04/2026,,
SHO0585,FEDEX,05/04/2025,Accepted,Hyderabad,Chennai,243.9,04/09/2025,,
SHO0587,BLUEDART,06/06/2026,In Transit,Chennai,Bangalore,488.5,09/06/2026,,
SHO0590,DHL,13/11/2024,In Transit,Hyderabad,Delhi,394.38,20/11/2024,,
SHO0593,DHL,09/02/2024,Accepted,Mumbai,Pune,11.6,09/09/2024,,
SHO0595,FEDEX,26/05/2026,In Transit,Bangalore,Mumbai,150.07,28/05/2026,,
SHO0596,BLUEDART,23/05/2024,Pending,Hyderabad,Chennai,395.85,26/05/2024,,
SHO0598,BLUEDART,03/02/2025,Delivered,Bangalore,Pune,98.83,02/05/2025,03/02/2025,0
SHO0603,BLUEDART,07/06/2025,Delivered,Mumbai,Chennai,350.25,13/06/2025,06/11/2025,146
SHO0606,BLUEDART,14/09/2025,Accepted,Bangalore,Hyderabad,141.26,18/09/2025,,
SHO0607,DHL,26/06/2024,Pending,Hyderabad,Pune,238.33,29/06/2024,,
SHO0608,DHL,13/08/2025,Pending,Delhi,Mumbai,481.28,16/08/2025,,
SHO0609,BLUEDART,19/04/2026,Delivered,Mumbai,Hyderabad,199.56,24/04/2026,28/04/2026,4
SHO0611,FEDEX,28/01/2025,Pending,Mumbai,Delhi,98.53,02/03/2025,,
SHO0614,BLUEDART,24/12/2025,Pending,Mumbai,Chennai,485.0,26/12/2025,,
SHO0615,FEDEX,21/01/2026,In Transit,Chennai,Delhi,356.43,28/01/2026,,
SHO0617,DHL,29/05/2025,Delayed,Mumbai,Hyderabad,181.38,01/06/2025,,
SHO0622,BLUEDART,15/10/2025,Accepted,Hyderabad,Pune,106.87,22/10/2025,,
SHO0624,FEDEX,05/02/2026,Delivered,Pune,Mumbai,497.86,07/05/2026,05/07/2026,59
SHO0628,BLUEDART,14/11/2024,Delayed,Bangalore,Pune,262.23,17/11/2024,24/11/2024,
SHO0634,BLUEDART,20/01/2025,In Transit,Pune,Delhi,314.08,23/01/2025,,
SHO0636,FEDEX,08/10/2024,Delivered,Bangalore,Mumbai,298.85,12/10/2024,10/10/2024,0
SHO0639,BLUEDART,06/01/2026,Pending,Pune,Delhi,323.23,06/03/2026,,
SHO0641,FEDEX,31/03/2025,Delayed,Bangalore,Chennai,254.7,07/04/2025,13/04/2025,
SHO0642,FEDEX,08/09/2025,Pending,Hyderabad,Delhi,45.3,12/09/2025,,
SHO0643,FEDEX,23/11/2025,In Transit,Pune,Mumbai,465.32,26/11/2025,,
SHO0646,DHL,25/08/2025,Accepted,Chennai,Delhi,387.94,27/08/2025,,
SHO0653,FEDEX,17/01/2025,Delayed,Mumbai,Hyderabad,116.02,24/01/2025,28/01/2025,
SHO0655,FEDEX,17/03/2025,Accepted,Pune,Hyderabad,34.58,23/03/2025,,
SHO0657,DHL,16/05/2024,In Transit,Delhi,Pune,164.21,20/05/2024,,
SHO0659,FEDEX,25/01/2026,Delayed,Mumbai,Bangalore,171.91,29/01/2026,02/03/2026,
SHO0661,DHL,07/10/2024,In Transit,Mumbai,Pune,458.88,10/12/2024,,
SHO0662,DHL,05/05/2025,Delayed,Delhi,Chennai,215.72,12/05/2025,13/05/2025,
SHO0665,BLUEDART,16/07/2024,Delivered,Bangalore,Hyderabad,178.55,18/07/2024,17/07/2024,0
SHO0668,FEDEX,29/07/2025,Delivered,Chennai,Mumbai,146.34,04/08/2025,06/08/2025,2
SHO0673,FEDEX,25/08/2024,Delivered,Hyderabad,Chennai,341.25,29/08/2024,29/08/2024,0
SHO0674,BLUEDART,13/11/2024,Delayed,Delhi,Pune,433.45,18/11/2024,28/11/2024,
SHO0676,DHL,23/01/2026,Accepted,Pune,Bangalore,116.27,30/01/2026,,
SHO0681,DHL,23/11/2024,Delayed,Bangalore,Hyderabad,146.55,30/11/2024,12/08/2024,
SHO0684,DHL,06/01/2025,Pending,Hyderabad,Pune,194.88,09/01/2025,,
SHO0686,BLUEDART,16/03/2024,Pending,Pune,Bangalore,405.71,19/03/2024,,
SHO0690,DHL,05/03/2025,In Transit,Bangalore,Mumbai,298.57,08/05/2025,,
SHO0691,FEDEX,15/10/2024,Delayed,Pune,Delhi,234.11,17/10/2024,21/10/2024,
SHO0692,DHL,16/02/2024,Delayed,Chennai,Mumbai,102.46,20/02/2024,21/02/2024,
SHO0696,BLUEDART,04/04/2026,Delayed,Mumbai,Pune,2.72,04/08/2026,17/04/2026,
SHO0699,BLUEDART,17/12/2025,Accepted,Pune,Delhi,245.26,20/12/2025,,
