shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered Date,delay_days,reason
SHO0028,BLUEDART,28/04/2024,IN TRANS,Delhi,Pune,23.57,02/05/2024,,,Invalid status
SHO0031,BLUEDART,20/10/2024,In Transit,Pune,Mumbai,169.34,,,,Expected Delivery Date is missing or invalid
,BLUEDART,17/10/2024,Pending,Hyderabad,Pune,305.04,23/10/2024,,,Missing shipment ID
SHO0033,DHL,,UNKNOWN,Mumbai,Bangalore,-37.76,,26/05/2026,,Invalid ship date; Invalid status; Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0034,DHL,29/06/2024,Delivered,Mumbai,Hyderabad,475.62,07/05/2024,10/07/2024,64,Expected Delivery Date is before Ship Date
SHO0035,FEDEX,14/04/2026,Delivered,Mumbai,Bangalore,437.37,,24/04/2026,,Expected Delivery Date is missing or invalid
SHO0037,BLUEDART,03/04/2024,In Transit,Mumbai,Chennai,403.08,,,,Expected Delivery Date is missing or invalid
SHO0038,FEDEX,02/04/2026,Delivered,Mumbai,Bangalore,236.76,10/02/2026,,,Delivered Date is missing or invalid for Delivered status; Expected Delivery Date is before Ship Date
SHO0039,FEDEX,,Delayed,Hyderabad,Bangalore,446.02,06/07/2025,16/07/2025,,Invalid ship date
SHO0041,DHL,23/07/2024,Accepted,Pune,Delhi,-68.18,26/07/2024,,,Invalid freight cost
SHO0042,BLUEDART,07/03/2026,Accepted,Chennai,Pune,14.98,,,,Expected Delivery Date is missing or invalid
SHO0043,DHL,14/04/2024,Delivered,Chennai,Hyderabad,,21/04/2024,20/04/2024,0,Invalid freight cost
SHO0044,FEDEX,01/05/2025,Delivered,Pune,Chennai,437.11,10/01/2025,,,Delivered Date is missing or invalid for Delivered status; Expected Delivery Date is before Ship Date
SHO0045,BLUEDART,26/11/2024,Accepted,Chennai,Delhi,,28/11/2024,,,Invalid freight cost
SHO0047,BLUEDART,04/03/2025,Delivered,Bangalore,Mumbai,-70.0,,08/04/2025,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0048,FEDEX,,IN TRANS,Delhi,Chennai,65.81,06/10/2024,,,Invalid ship date; Invalid status
SHO0053,DHL,09/06/2024,UNKNOWN,Delhi,Pune,20.81,11/06/2024,,,Invalid status
SHO0054,FEDEX,27/09/2024,Delivered,Pune,Delhi,378.92,03/10/2024,10/04/2024,0,Delivered Date is before Ship Date
SHO0055,BLUEDART,22/10/2024,Pending,Bangalore,Chennai,-7.87,,,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0056,BLUEDART,13/09/2024,Delayed,Delhi,Bangalore,-27.03,20/09/2024,,,Invalid freight cost
SHO0058,FEDEX,04/10/2025,Delayed,Chennai,Pune,102.42,14/04/2025,16/04/2025,,Expected Delivery Date is before Ship Date
SHO0059,BLUEDART,27/07/2024,IN TRANS,Mumbai,Pune,238.55,,,,Invalid status; Expected Delivery Date is missing or invalid
SHO0060,DHL,04/05/2024,In Transit,Chennai,Mumbai,495.51,07/04/2024,,,Expected Delivery Date is before Ship Date
SHO0061,FEDEX,04/12/2025,Pending,Mumbai,Hyderabad,3.89,15/04/2025,,,Expected Delivery Date is before Ship Date
SHO0066,BLUEDART,11/03/2024,In Transit,Pune,Bangalore,286.07,,,,Expected Delivery Date is missing or invalid
SHO0067,FEDEX,28/11/2024,Delivered,Pune,Hyderabad,-47.45,02/12/2024,05/12/2024,3,Invalid freight cost
SHO0068,BLUEDART,,Pending,Bangalore,Hyderabad,3.01,29/05/2025,,,Invalid ship date
SHO0069,DHL,,IN TRANS,Mumbai,Delhi,290.58,29/08/2025,,,Invalid ship date; Invalid status
SHO0070,FEDEX,17/12/2025,IN TRANS,Chennai,Delhi,-67.28,,,,Invalid status; Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0072,BLUEDART,,Pending,Pune,Mumbai,-60.65,22/03/2026,,,Invalid ship date; Invalid freight cost
SHO0073,FEDEX,06/10/2024,Accepted,Chennai,Bangalore,15.44,,,,Expected Delivery Date is missing or invalid
SHO0076,DHL,28/04/2024,Delayed,Delhi,Chennai,56.18,05/04/2024,07/05/2024,,Expected Delivery Date is before Ship Date
SHO0077,FEDEX,03/05/2026,Pending,Bangalore,Pune,277.08,,,,Expected Delivery Date is missing or invalid
SHO0078,BLUEDART,03/03/2024,UNKNOWN,Bangalore,Delhi,80.01,05/03/2024,,,Invalid status
SHO0079,DHL,03/11/2024,Accepted,Chennai,Hyderabad,363.79,14/03/2024,,,Expected Delivery Date is before Ship Date
SHO0082,FEDEX,,Pending,Mumbai,Pune,411.43,08/03/2024,,,Invalid ship date
SHO0084,DHL,28/06/2026,In Transit,Mumbai,Chennai,160.01,07/03/2026,,,Expected Delivery Date is before Ship Date
SHO0085,FEDEX,01/05/2026,Delayed,Pune,Hyderabad,-25.93,05/03/2026,09/05/2026,,Expected Delivery Date is before Ship Date; Invalid freight cost
SHO0087,FEDEX,04/06/2026,In Transit,Chennai,Hyderabad,410.19,,,,Expected Delivery Date is missing or invalid
SHO0088,BLUEDART,,Accepted,Delhi,Mumbai,25.22,28/12/2024,07/01/2025,,Invalid ship date
SHO0089,FEDEX,15/11/2024,Delivered,Hyderabad,Mumbai,108.14,21/11/2024,,,Delivered Date is missing or invalid for Delivered status
SHO0090,FEDEX,12/02/2026,Pending,Delhi,Hyderabad,-13.99,17/02/2026,,,Invalid freight cost
SHO0093,FEDEX,22/01/2024,In Transit,Pune,Chennai,19.69,,,,Expected Delivery Date is missing or invalid
SHO0094,FEDEX,14/08/2024,In Transit,Delhi,Mumbai,371.89,,,,Expected Delivery Date is missing or invalid
SHO0095,DHL,29/05/2024,IN TRANS,Hyderabad,Pune,34.42,,,,Invalid status; Expected Delivery Date is missing or invalid
,FEDEX,,Delayed,Mumbai,Chennai,133.87,12/02/2024,14/02/2024,,Missing shipment ID; Invalid ship date
SHO0100,FEDEX,06/04/2024,Pending,Pune,Mumbai,313.46,,,,Expected Delivery Date is missing or invalid
SHO0103,FEDEX,28/02/2026,Pending,Pune,Bangalore,404.37,,,,Expected Delivery Date is missing or invalid
SHO0106,DHL,,In Transit,Bangalore,Mumbai,241.63,16/06/2026,,,Invalid ship date
SHO0108,DHL,,UNKNOWN,Bangalore,Delhi,-0.19,25/03/2026,,,Invalid ship date; Invalid status; Invalid freight cost
SHO0110,DHL,08/11/2025,In Transit,Bangalore,Chennai,336.76,15/08/2025,,,Expected Delivery Date is before Ship Date
SHO0111,DHL,06/03/2025,UNKNOWN,Chennai,Bangalore,493.23,06/09/2025,07/06/2025,,Invalid status
SHO0113,FEDEX,10/04/2026,Delayed,Bangalore,Hyderabad,-43.4,15/04/2026,16/04/2026,,Invalid freight cost
SHO0114,FEDEX,,Delivered,Delhi,Pune,30.84,14/02/2026,12/02/2026,0,Invalid ship date
SHO0116,FEDEX,,Delivered,Chennai,Mumbai,177.47,24/06/2024,22/06/2024,0,Invalid ship date
SHO0117,FEDEX,01/02/2024,Delayed,Chennai,Hyderabad,,08/02/2024,16/02/2024,,Invalid freight cost
SHO0118,FEDEX,30/03/2025,Accepted,Delhi,Mumbai,-35.41,02/04/2025,,,Invalid freight cost
SHO0119,DHL,21/12/2025,Pending,Delhi,Mumbai,44.45,,,,Expected Delivery Date is missing or invalid
SHO0124,FEDEX,,Delivered,Pune,Mumbai,474.68,24/07/2024,24/07/2024,0,Invalid ship date
SHO0125,BLUEDART,12/05/2026,Pending,Chennai,Delhi,-56.11,14/05/2026,,,Invalid freight cost
SHO0126,DHL,,Delivered,Mumbai,Bangalore,474.86,28/10/2024,29/10/2024,1,Invalid ship date
SHO0131,BLUEDART,27/11/2025,Pending,Delhi,Bangalore,-11.09,29/11/2025,,,Invalid freight cost
SHO0132,BLUEDART,02/09/2024,Delayed,Pune,Hyderabad,333.88,14/02/2024,23/02/2024,,Expected Delivery Date is before Ship Date
SHO0133,FEDEX,,Accepted,Chennai,Delhi,215.63,06/08/2025,,,Invalid ship date
SHO0136,FEDEX,,Delayed,Bangalore,Pune,220.84,29/12/2025,01/04/2026,,Invalid ship date
SHO0139,DHL,,Delivered,Delhi,Pune,-34.16,26/10/2024,28/10/2024,2,Invalid ship date; Invalid freight cost
SHO0141,DHL,03/05/2025,Delivered,Mumbai,Chennai,35.68,,10/05/2025,,Expected Delivery Date is missing or invalid
SHO0142,DHL,07/02/2024,UNKNOWN,Mumbai,Hyderabad,150.26,,,,Invalid status; Expected Delivery Date is missing or invalid
SHO0144,DHL,20/03/2026,IN TRANS,Bangalore,Delhi,249.31,23/03/2026,,,Invalid status
SHO0145,DHL,27/11/2024,In Transit,Hyderabad,Chennai,,12/02/2024,,,Expected Delivery Date is before Ship Date; Invalid freight cost
SHO0146,BLUEDART,,Delayed,Hyderabad,Pune,189.93,17/11/2025,,,Invalid ship date
SHO0147,DHL,,Delivered,Mumbai,Hyderabad,493.53,14/04/2025,18/04/2025,4,Invalid ship date
SHO0152,BLUEDART,,Pending,Delhi,Pune,147.97,04/07/2024,,,Invalid ship date
SHO0153,FEDEX,,In Transit,Hyderabad,Delhi,9.97,,,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO0156,BLUEDART,,Pending,Hyderabad,Chennai,-52.81,,,,Invalid ship date; Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0158,DHL,,UNKNOWN,Delhi,Pune,135.22,11/04/2025,,,Invalid ship date; Invalid status
SHO0160,BLUEDART,02/10/2025,In Transit,Chennai,Hyderabad,240.21,14/02/2025,,,Expected Delivery Date is before Ship Date
SHO0162,DHL,23/01/2025,Pending,Delhi,Hyderabad,403.35,,,,Expected Delivery Date is missing or invalid
,FEDEX,22/06/2024,Delayed,Hyderabad,Mumbai,,,30/06/2024,,Missing shipment ID; Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0164,DHL,10/03/2024,Delivered,Bangalore,Hyderabad,,13/03/2024,18/03/2024,5,Invalid freight cost
SHO0165,FEDEX,26/06/2025,Delivered,Pune,Hyderabad,79.35,,,,Expected Delivery Date is missing or invalid; Delivered Date is missing or invalid for Delivered status
SHO0167,DHL,04/05/2024,In Transit,Bangalore,Pune,139.97,11/04/2024,,,Expected Delivery Date is before Ship Date
SHO0172,BLUEDART,,Delayed,Pune,Hyderabad,140.4,10/08/2024,11/10/2024,,Invalid ship date
,DHL,04/04/2025,Pending,Hyderabad,Chennai,241.75,09/04/2025,,,Missing shipment ID
SHO0174,FEDEX,01/12/2026,Pending,Mumbai,Pune,445.02,15/01/2026,,,Expected Delivery Date is before Ship Date
,FEDEX,02/11/2024,Pending,Delhi,Chennai,373.95,06/11/2024,,,Missing shipment ID
SHO0176,FEDEX,24/01/2025,Delivered,Delhi,Bangalore,420.08,,02/01/2025,,Expected Delivery Date is missing or invalid; Delivered Date is before Ship Date
,FEDEX,08/12/2025,Delivered,Delhi,Chennai,60.61,17/08/2025,19/08/2025,2,Missing shipment ID; Expected Delivery Date is before Ship Date; Delivered Date is before Ship Date
SHO0178,BLUEDART,24/03/2025,Delivered,Mumbai,Hyderabad,88.97,,30/03/2025,,Expected Delivery Date is missing or invalid
SHO0179,FEDEX,19/08/2025,In Transit,Chennai,Mumbai,229.93,,,,Expected Delivery Date is missing or invalid
SHO0180,DHL,19/06/2024,Delivered,Hyderabad,Mumbai,275.35,,29/06/2024,,Expected Delivery Date is missing or invalid
SHO0183,FEDEX,24/11/2025,Delivered,Bangalore,Pune,15.33,01/12/2025,12/02/2025,0,Delivered Date is before Ship Date
SHO0184,BLUEDART,02/09/2025,Delayed,Bangalore,Mumbai,347.69,,20/02/2025,,Expected Delivery Date is missing or invalid
SHO0185,BLUEDART,,In Transit,Hyderabad,Mumbai,185.38,12/03/2024,,,Invalid ship date
SHO0186,FEDEX,,Delivered,Chennai,Hyderabad,329.47,17/04/2026,16/04/2026,0,Invalid ship date
SHO0187,DHL,03/09/2025,Delayed,Chennai,Mumbai,202.27,15/03/2025,18/03/2025,,Expected Delivery Date is before Ship Date
SHO0188,FEDEX,,In Transit,Hyderabad,Delhi,479.02,20/04/2026,,,Invalid ship date
SHO0190,FEDEX,17/02/2026,Delivered,Chennai,Pune,175.99,,,,Expected Delivery Date is missing or invalid; Delivered Date is missing or invalid for Delivered status
SHO0191,FEDEX,,Delivered,Pune,Delhi,347.82,08/09/2024,,,Invalid ship date; Delivered Date is missing or invalid for Delivered status
SHO0193,FEDEX,06/06/2026,Delivered,Pune,Mumbai,-6.4,,10/06/2026,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0194,FEDEX,18/03/2024,Delivered,Mumbai,Chennai,380.87,,24/03/2024,,Expected Delivery Date is missing or invalid
SHO0197,FEDEX,,Delivered,Hyderabad,Mumbai,129.05,,10/04/2024,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO0198,DHL,,Delayed,Pune,Delhi,-3.03,,15/05/2025,,Invalid ship date; Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0199,DHL,18/01/2026,Delivered,Mumbai,Pune,-20.59,22/01/2026,25/01/2026,3,Invalid freight cost
SHO0200,DHL,,In Transit,Chennai,Hyderabad,339.01,02/04/2025,,,Invalid ship date
SHO0202,DHL,,Pending,Bangalore,Delhi,272.02,08/01/2024,,,Invalid ship date
SHO0205,BLUEDART,26/03/2024,IN TRANS,Hyderabad,Mumbai,-34.17,29/03/2024,,,Invalid status; Invalid freight cost
,FEDEX,29/02/2024,In Transit,Bangalore,Hyderabad,-30.0,03/05/2024,,,Missing shipment ID; Invalid freight cost
SHO0207,DHL,16/06/2024,Pending,Bangalore,Pune,472.75,,,,Expected Delivery Date is missing or invalid
SHO0208,DHL,10/05/2024,Pending,Delhi,Chennai,-42.95,,,,Expected Delivery Date is missing or invalid; Invalid freight cost
,FEDEX,21/11/2025,Delivered,Pune,Bangalore,-13.11,,26/11/2025,,Missing shipment ID; Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0212,FEDEX,20/05/2025,Delivered,Delhi,Bangalore,,,28/05/2025,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0213,BLUEDART,16/04/2024,In Transit,Mumbai,Delhi,,19/04/2024,,,Invalid freight cost
SHO0214,BLUEDART,,Delivered,Mumbai,Delhi,-30.76,16/04/2025,16/04/2025,0,Invalid ship date; Invalid freight cost
SHO0216,BLUEDART,07/04/2025,IN TRANS,Delhi,Hyderabad,188.74,09/04/2025,,,Invalid status
SHO0221,BLUEDART,30/03/2024,IN TRANS,Mumbai,Pune,142.15,,,,Invalid status; Expected Delivery Date is missing or invalid
SHO0222,BLUEDART,07/11/2025,Accepted,Delhi,Chennai,201.11,,20/07/2025,,Expected Delivery Date is missing or invalid
SHO0224,DHL,29/12/2024,Accepted,Chennai,Mumbai,,01/01/2025,,,Invalid freight cost
SHO0225,BLUEDART,30/07/2025,In Transit,Chennai,Hyderabad,,04/08/2025,,,Invalid freight cost
SHO0227,FEDEX,23/08/2025,Delayed,Bangalore,Mumbai,115.21,,30/08/2025,,Expected Delivery Date is missing or invalid
SHO0228,BLUEDART,12/11/2025,Pending,Delhi,Hyderabad,392.38,,,,Expected Delivery Date is missing or invalid
SHO0229,BLUEDART,08/09/2025,In Transit,Pune,Delhi,454.2,,,,Expected Delivery Date is missing or invalid
,DHL,21/04/2026,Delivered,Bangalore,Pune,308.61,28/04/2026,01/05/2026,3,Missing shipment ID
SHO0234,FEDEX,08/04/2024,Delayed,Delhi,Hyderabad,147.88,,22/04/2024,,Expected Delivery Date is missing or invalid
SHO0236,FEDEX,15/02/2024,IN TRANS,Hyderabad,Chennai,175.05,19/02/2024,,,Invalid status
,FEDEX,20/07/2025,Delayed,Chennai,Hyderabad,407.66,,08/02/2025,,Missing shipment ID; Expected Delivery Date is missing or invalid
,BLUEDART,21/09/2024,In Transit,Hyderabad,Bangalore,448.27,23/09/2024,,,Missing shipment ID
,BLUEDART,27/09/2024,In Transit,Delhi,Chennai,299.78,,,,Missing shipment ID; Expected Delivery Date is missing or invalid
SHO0244,FEDEX,21/03/2026,Delayed,Pune,Bangalore,-41.94,28/03/2026,,,Invalid freight cost
SHO0246,FEDEX,,Accepted,Chennai,Bangalore,14.84,,,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO0249,DHL,,Delivered,Chennai,Delhi,264.39,01/08/2025,08/03/2025,0,Invalid ship date
SHO0251,FEDEX,24/01/2026,Delayed,Mumbai,Chennai,258.15,,,,Expected Delivery Date is missing or invalid
SHO0252,DHL,,IN TRANS,Bangalore,Chennai,-23.39,07/07/2024,,,Invalid ship date; Invalid status; Invalid freight cost
SHO0254,BLUEDART,29/06/2026,In Transit,Pune,Chennai,210.28,07/06/2026,,,Expected Delivery Date is before Ship Date
SHO0255,BLUEDART,19/11/2024,UNKNOWN,Mumbai,Hyderabad,335.09,21/11/2024,,,Invalid status
SHO0256,DHL,16/05/2025,UNKNOWN,Chennai,Hyderabad,362.87,18/05/2025,,,Invalid status
,DHL,14/07/2024,Delayed,Delhi,Bangalore,312.51,,25/07/2024,,Missing shipment ID; Expected Delivery Date is missing or invalid
SHO0260,DHL,,Delayed,Chennai,Pune,299.07,10/11/2025,11/11/2025,,Invalid ship date
SHO0261,DHL,11/08/2025,Delayed,Delhi,Chennai,304.24,,22/11/2025,,Expected Delivery Date is missing or invalid
SHO0262,FEDEX,23/07/2024,Delivered,Hyderabad,Bangalore,72.54,,,,Expected Delivery Date is missing or invalid; Delivered Date is missing or invalid for Delivered status
SHO0264,FEDEX,21/02/2024,Delayed,Delhi,Chennai,,,28/02/2024,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO0265,BLUEDART,,Pending,Hyderabad,Mumbai,473.95,05/01/2025,,,Invalid ship date
SHO0267,BLUEDART,05/09/2025,Accepted,Pune,Delhi,-14.5,14/05/2025,,,Expected Delivery Date is before Ship Date; Invalid freight cost
SHO0268,BLUEDART,,Accepted,Chennai,Hyderabad,116.21,,,,Invalid ship date; Expected Delivery Date is missing or invalid
,BLUEDART,16/04/2026,In Transit,Mumbai,Chennai,-34.28,21/04/2026,,,Missing shipment ID; Invalid freight cost
SHO0271,FEDEX,24/07/2025,Pending,Mumbai,Pune,-79.9,26/07/2025,,,Invalid freight cost
SHO0272,DHL,12/05/2024,Pending,Hyderabad,Chennai,365.1,,,,Expected Delivery Date is missing or invalid
SHO0274,FEDEX,24/04/2026,Delivered,Hyderabad,Chennai,30.54,28/04/2026,,,Delivered Date is missing or invalid for Delivered status
SHO0275,DHL,27/06/2025,Delivered,Mumbai,Pune,-51.83,02/07/2025,,,Delivered Date is missing or invalid for Delivered status; Invalid freight cost
SHO0277,BLUEDART,,In Transit,Delhi,Bangalore,36.52,15/10/2025,,,Invalid ship date
SHO0280,FEDEX,02/03/2024,In Transit,Hyderabad,Bangalore,392.14,,,,Expected Delivery Date is missing or invalid
SHO0281,BLUEDART,25/01/2025,In Transit,Delhi,Pune,161.61,02/01/2025,,,Expected Delivery Date is before Ship Date
SHO0282,DHL,12/02/2026,Pending,Bangalore,Delhi,237.04,,,,Expected Delivery Date is missing or invalid
,BLUEDART,27/04/2024,Delivered,Bangalore,Pune,120.68,,01/05/2024,,Missing shipment ID; Expected Delivery Date is missing or invalid
SHO0287,BLUEDART,02/04/2026,Pending,Delhi,Bangalore,178.42,,,,Expected Delivery Date is missing or invalid
SHO0290,FEDEX,,Delivered,Delhi,Pune,-11.38,02/04/2025,03/02/2025,0,Invalid ship date; Invalid freight cost
SHO0292,DHL,12/01/2024,Pending,Delhi,Mumbai,427.36,,,,Expected Delivery Date is missing or invalid
SHO0293,BLUEDART,26/02/2025,Delivered,Delhi,Hyderabad,413.85,01/03/2025,03/01/2025,0,Delivered Date is before Ship Date
SHO0294,BLUEDART,15/03/2024,IN TRANS,Mumbai,Bangalore,309.58,19/03/2024,,,Invalid status
SHO0295,BLUEDART,,Pending,Pune,Delhi,181.37,27/11/2024,,,Invalid ship date
SHO0296,FEDEX,30/12/2025,Delivered,Hyderabad,Delhi,291.69,,,,Expected Delivery Date is missing or invalid; Delivered Date is missing or invalid for Delivered status
SHO0297,BLUEDART,05/11/2026,IN TRANS,Chennai,Pune,,14/05/2026,,,Invalid status; Expected Delivery Date is before Ship Date; Invalid freight cost
SHO0299,DHL,,Delayed,Mumbai,Bangalore,150.14,12/06/2025,13/06/2025,,Invalid ship date
SHO0301,DHL,,Delivered,Pune,Mumbai,481.7,22/04/2024,24/04/2024,2,Invalid ship date
SHO0303,FEDEX,,Delayed,Hyderabad,Delhi,130.09,17/07/2024,19/07/2024,,Invalid ship date
SHO0304,FEDEX,,Delayed,Pune,Delhi,252.62,17/02/2024,20/02/2024,,Invalid ship date
SHO0306,DHL,27/09/2024,Delayed,Chennai,Bangalore,340.03,10/01/2024,09/10/2024,,Expected Delivery Date is before Ship Date
,FEDEX,08/04/2024,Delayed,Hyderabad,Bangalore,196.0,14/04/2024,24/04/2024,,Missing shipment ID
SHO0308,BLUEDART,,In Transit,Bangalore,Mumbai,134.82,20/06/2025,,,Invalid ship date
SHO0310,DHL,05/12/2025,Delivered,Mumbai,Hyderabad,103.22,12/09/2025,,,Delivered Date is missing or invalid for Delivered status; Expected Delivery Date is before Ship Date
SHO0315,BLUEDART,22/06/2024,Delivered,Hyderabad,Bangalore,-59.08,25/06/2024,23/06/2024,0,Invalid freight cost
SHO0317,DHL,30/05/2025,IN TRANS,Chennai,Pune,117.18,01/06/2025,,,Invalid status
SHO0320,BLUEDART,,Delivered,Delhi,Hyderabad,459.55,06/02/2026,11/02/2026,5,Invalid ship date
SHO0328,DHL,27/10/2025,Delivered,Chennai,Bangalore,232.29,,11/03/2025,,Expected Delivery Date is missing or invalid; Delivered Date is before Ship Date
SHO0332,FEDEX,25/01/2026,IN TRANS,Hyderabad,Delhi,177.03,28/01/2026,,,Invalid status
SHO0334,FEDEX,20/08/2024,Delivered,Mumbai,Bangalore,-28.06,24/08/2024,,,Delivered Date is missing or invalid for Delivered status; Invalid freight cost
SHO0336,DHL,28/04/2026,In Transit,Bangalore,Mumbai,47.94,,,,Expected Delivery Date is missing or invalid
SHO0338,DHL,23/01/2024,Delayed,Pune,Bangalore,483.95,,02/01/2024,,Expected Delivery Date is missing or invalid
SHO0339,FEDEX,14/12/2025,Delivered,Delhi,Chennai,-61.59,16/12/2025,16/12/2025,0,Invalid freight cost
SHO0340,DHL,29/01/2025,Delivered,Bangalore,Hyderabad,485.48,02/01/2025,,,Delivered Date is missing or invalid for Delivered status; Expected Delivery Date is before Ship Date
SHO0341,FEDEX,02/01/2026,Pending,Hyderabad,Pune,222.14,,,,Expected Delivery Date is missing or invalid
SHO0343,FEDEX,,Delivered,Pune,Bangalore,282.58,14/12/2024,,,Invalid ship date; Delivered Date is missing or invalid for Delivered status
SHO0347,DHL,26/11/2024,In Transit,Chennai,Delhi,,28/11/2024,,,Invalid freight cost
SHO0348,DHL,08/07/2025,Delivered,Pune,Hyderabad,,14/08/2025,,,Delivered Date is missing or invalid for Delivered status; Invalid freight cost
SHO0349,BLUEDART,24/04/2025,Accepted,Mumbai,Pune,290.57,,02/05/2025,,Expected Delivery Date is missing or invalid
SHO0352,FEDEX,28/11/2024,Accepted,Delhi,Bangalore,135.6,,,,Expected Delivery Date is missing or invalid
,FEDEX,10/02/2025,Delayed,Mumbai,Chennai,341.26,14/02/2025,24/02/2025,,Missing shipment ID
SHO0354,BLUEDART,07/06/2025,Pending,Delhi,Bangalore,250.99,,,,Expected Delivery Date is missing or invalid
SHO0355,FEDEX,13/02/2025,Pending,Pune,Bangalore,452.37,,,,Expected Delivery Date is missing or invalid
SHO0357,BLUEDART,25/02/2024,IN TRANS,Pune,Chennai,224.14,29/02/2024,,,Invalid status
SHO0359,BLUEDART,,Pending,Hyderabad,Delhi,34.9,05/12/2025,,,Invalid ship date
SHO0361,FEDEX,,Delayed,Chennai,Hyderabad,456.04,30/03/2025,03/04/2025,,Invalid ship date
SHO0362,FEDEX,11/12/2025,Delivered,Pune,Mumbai,-15.46,16/12/2025,21/12/2025,5,Invalid freight cost
SHO0364,DHL,07/11/2025,IN TRANS,Pune,Chennai,304.53,,,,Invalid status; Expected Delivery Date is missing or invalid
SHO0365,DHL,06/06/2026,UNKNOWN,Delhi,Chennai,228.31,06/09/2026,,,Invalid status
SHO0366,FEDEX,,In Transit,Mumbai,Hyderabad,316.9,23/01/2024,,,Invalid ship date
SHO0367,DHL,18/08/2024,Delayed,Chennai,Delhi,118.24,,26/08/2024,,Expected Delivery Date is missing or invalid
SHO0368,FEDEX,,Pending,Delhi,Bangalore,234.5,06/12/2024,,,Invalid ship date
,DHL,02/11/2025,Pending,Mumbai,Hyderabad,451.93,11/06/2025,,,Missing shipment ID; Expected Delivery Date is before Ship Date
SHO0370,FEDEX,,UNKNOWN,Mumbai,Chennai,352.45,13/11/2024,,,Invalid ship date; Invalid status
SHO0374,BLUEDART,21/06/2025,Delivered,Chennai,Bangalore,,23/06/2025,22/06/2025,0,Invalid freight cost
